,source,target,name,elevation,length,vegetation,location,type
53,70,72,new line.l(r:p3rdm120-p3rdt66lv),169.0177689,0.019588,0,1,1
54,70,74,new line.l(r:p3rdm121-p3rdt66lv),168.8812943,0.019578,0,1,1
55,72,73,new line.l(r:p3rdm120-p3rlv151),168.9977188,0.0691051,0,1,1
56,74,75,new line.l(r:p3rdm121-p3rlv158),168.8080215,0.0519111,0,1,1
57,76,77,new line.l(r:p3rdt67lv-p3rlv114),170.7763901,0.0969167,0,1,1
58,76,78,new line.l(r:p3rdt67lv-p3rlv124),170.8604736,0.10335,0,1,1
59,76,79,new line.l(r:p3rdt67lv-p3rlv142),170.9114456,0.0560404,0,1,1
60,80,81,new line.l(r:p3rdt68lv-p3rlv128),169.7173538,0.0469224,0,1,1
61,80,82,new line.l(r:p3rdm125-p3rdt68lv),169.7426529,0.019588,0,1,1
62,82,83,new line.l(r:p3rdm125-p3rlv115),169.7763367,0.0473655,0,1,1
63,84,85,new line.l(r:p3rdt69lv-p3rlv116),170.9756088,0.0714783,0,1,1
64,84,86,new line.l(r:p3rdt69lv-p3rlv152),171.212204,0.0208194,0,1,1
65,84,87,new line.l(r:p3rdm128-p3rdt69lv),171.2032394,0.019578,0,1,1
66,84,89,new line.l(r:p3rdm129-p3rdt69lv),171.0347977,0.019588,0,1,1
67,87,88,new line.l(r:p3rdm128-p3rlv120),171.0880127,0.0893744,0,1,1
68,89,90,new line.l(r:p3rdm129-p3rlv147),170.9090729,0.0577301,0,1,1
69,91,92,new line.l(r:p3rdt70lv-p3rlv117),169.5103149,0.0689837,0,1,1
70,91,93,new line.l(r:p3rdt70lv-p3rlv129),169.760643,0.049381,0,1,1
71,91,94,new line.l(r:p3rdm133-p3rdt70lv),169.3632584,0.019588,0,1,1
72,94,95,new line.l(r:p3rdm133-p3rlv155),169.5140839,0.0501841,0,1,1
73,96,97,new line.l(r:p3rdt71lv-p3rlv118),172.220932,0.041651,0,1,1
74,96,98,new line.l(r:p3rdt71lv-p3rlv123),172.220932,0.0421972,0,1,1
75,96,99,new line.l(r:p3rdt71lv-p3rlv143),172.1685257,0.0511537,0,1,1
76,96,100,new line.l(r:p3rdt71lv-p3rlv146),172.2928162,0.0606631,0,1,1
77,96,101,new line.l(r:p3rdt71lv-p3rlv149),172.0783234,0.0213069,0,1,1
78,96,102,new line.l(r:p3rdm136-p3rdt71lv),171.9862289,0.0122942,0,1,1
79,102,103,new line.l(r:p3rdm136-p3rlv130),171.9988174,0.00805732,0,1,1
80,104,105,new line.l(r:p3rdt72lv-p3rlv119),169.2209167,0.0367539,0,1,1
81,104,106,new line.l(r:p3rdt72lv-p3rlv136),169.2138138,0.0367539,0,1,1
82,107,108,new line.l(r:p3rdt73lv-p3rlv121),168.0749512,0.0611437,0,1,1
83,109,110,new line.l(r:p3rdm143-p3rlv122),170.2127991,0.0440601,0,1,1
84,111,109,new line.l(r:p3rdm143-p3rdt74lv),170.250885,0.039166,0,1,1
85,111,112,new line.l(r:p3rdm144-p3rdt74lv),170.4715118,0.0195877,0,1,1
86,112,113,new line.l(r:p3rdm144-p3rlv138),170.7882614,0.0476155,0,1,1
87,112,114,new line.l(r:p3rdm144-p3rdm145),170.6090622,0.019578,0,1,1
88,114,115,new line.l(r:p3rdm145-p3rlv150),170.7966537,0.0235511,0,1,1
89,116,117,new line.l(r:p3rdt75lv-p3rlv125),170.6011963,0.001,0,1,1
90,118,119,new line.l(r:p3rdt76lv-p3rlv126),170.062233,0.0283752,0,1,1
91,118,120,new line.l(r:p3rdt76lv-p3rlv132),170.2037506,0.0327474,0,1,1
92,118,121,new line.l(r:p3rdt76lv-p3rlv137),170.1655273,0.0044908,0,1,1
93,122,123,new line.l(r:p3rdt77lv-p3rlv133),1500.554153,0.0552275,0,1,1
94,122,124,new line.l(r:p3rdm150-p3rdt77lv),170.4557953,0.0195877,0,1,1
95,122,126,new line.l(r:p3rdm152-p3rdt77lv),170.632988,0.039166,0,1,1
96,124,125,new line.l(r:p3rdm150-p3rlv127),170.497818,0.0285548,0,1,1
97,126,127,new line.l(r:p3rdm152-p3rlv156),170.9416428,0.0211975,0,1,1
98,128,129,new line.l(r:p3rdt78lv-p3rlv131),167.0844955,0.055066,0,1,1
99,130,131,new line.l(r:p3rdt79lv-p3rlv134),168.9834366,0.0355408,0,1,1
100,132,133,new line.l(r:p3rdt80lv-p3rlv135),170.1731262,0.0339405,0,1,1
101,134,135,new line.l(r:p3rdt81lv-p3rlv139),169.3236618,0.015572,0,1,1
102,134,136,new line.l(r:p3rdt81lv-p3rlv235),169.1561813,0.0182126,0,1,1
103,134,137,new line.l(r:p3rdt81lv-p3rlv241),169.2268066,0.0230863,30,1,1
104,134,138,new line.l(r:p3rdt81lv-p3rlv245),169.3348694,0.0239571,0,1,1
105,139,140,new line.l(r:p3rdt82lv-p3rlv144),171.4576874,0.001,0,1,1
106,141,142,new line.l(r:p3rdt83lv-p3rlv148),169.4508591,0.0387442,0,1,1
107,143,144,new line.l(r:p3rdt84lv-p3rlv154),171.6077576,0.001,0,1,1
108,145,146,new line.l(r:p3rdt85lv-p3rlv157),168.3550262,0.0545134,0,1,1
109,147,148,new line.l(r:p3rdt104lv-p3rlv185),190.3463593,0.0184282,0,1,1
110,149,150,new line.l(r:p3rdt105lv-p3rlv186),192.9532318,0.0392436,0,1,1
111,151,152,new line.l(r:p3rdt106lv-p3rlv190),193.4956665,0.0129966,0,1,1
112,151,153,new line.l(r:p3rdm193-p3rdt106lv),193.334938,0.0158685,0,1,1
113,151,156,new line.l(r:p3rdm196-p3rdt106lv),193.0875702,0.0158656,0,1,1
114,153,154,new line.l(r:p3rdm193-p3rlv187),193.8322754,0.013556,0,1,1
115,153,155,new line.l(r:p3rdm193-p3rlv188),193.4434357,0.005673,0,1,1
116,156,157,new line.l(r:p3rdm196-p3rlv192),193.0662003,0.0113656,0,1,1
117,158,159,new line.l(r:p3rdt107lv-p3rlv189),191.529335,0.0403274,0,1,1
118,160,161,new line.l(r:p3rdt108lv-p3rlv199),197.1991043,0.0148475,0,1,1
119,160,162,new line.l(r:p3rdt108lv-p3rlv202),197.6110077,0.0129766,0,1,1
120,160,163,new line.l(r:p3rdm198-p3rdt108lv),195.7981796,0.103768,0,1,1
121,160,165,new line.l(r:p3rdm201-p3rdt108lv),197.7416382,0.0295047,0,1,1
122,163,164,new line.l(r:p3rdm198-p3rlv191),194.55513,0.0189705,0,1,1
123,165,166,new line.l(r:p3rdm201-p3rlv208),197.5412979,0.03542,0,1,1
124,167,168,new line.l(r:p3rdt109lv-p3rlv194),200.4990997,0.0444138,0,1,1
125,167,169,new line.l(r:p3rdt109lv-p3rlv201),200.5267944,0.0651934,0,1,1
126,167,170,new line.l(r:p3rdm202-p3rdt109lv),199.9722137,0.01904,0,1,1
127,170,171,new line.l(r:p3rdm202-p3rlv193),200.1064682,0.0747837,0,1,1
128,172,173,new line.l(r:p3rdt110lv-p3rlv195),223.1791458,0.0868223,0,1,1
129,174,175,new line.l(r:p3rdt111lv-p3rlv196),199.1240845,0.0238026,0,1,1
130,176,177,new line.l(r:p3rdt112lv-p3rlv197),207.0489426,0.0522764,0,1,1
131,176,178,new line.l(r:p3rdt112lv-p3rlv198),207.9895935,0.036571,0,1,1
132,179,180,new line.l(r:p3rdt114lv-p3rlv203),207.4433823,0.056043,0,1,1
133,179,181,new line.l(r:p3rdm211-p3rdt114lv),206.67099,0.0166946,0,1,1
134,181,182,new line.l(r:p3rdm211-p3rlv204),206.7224808,0.0379647,0,1,1
135,181,183,new line.l(r:p3rdm211-p3rdm212),206.3143845,0.0166885,0,1,1
136,183,184,new line.l(r:p3rdm212-p3rlv206),209.1235733,0.118441,0,1,1
137,185,186,new line.l(r:p3rdt115lv-p3rlv205),219.1514587,0.00837969,0,1,1
138,185,187,new line.l(r:p3rdt115lv-p3rlv207),219.1483536,0.00837969,0,1,1
139,188,189,new line.l(r:p3rdt117lv-p3rlv211),161.6009521,0.0158845,0,1,1
140,190,191,new line.l(r:p3rdt118lv-p3rlv212),161.6069489,0.00263638,0,1,1
141,192,193,new line.l(r:p3rdt119lv-p3rlv214),161.6960678,0.001,0,1,1
142,192,194,new line.l(r:p3rdm219-p3rdt119lv),161.7480545,0.0362992,0,1,1
143,194,195,new line.l(r:p3rdm219-p3rlv213),161.6764526,0.0083365,0,1,1
144,194,196,new line.l(r:p3rdm219-p3rdm221),161.9336395,0.102921,0,1,1
145,196,197,new line.l(r:p3rdm221-p3rlv217),162.107399,0.00708071,0,1,1
146,198,199,new line.l(r:p3rdt120lv-p3rlv215),160.9066925,0.0074368,0,1,1
147,200,201,new line.l(r:p3rdt121lv-p3rlv216),161.224968,0.0163328,0,1,1
148,202,203,new line.l(r:p3rdt128lv-p3rlv230),230.9866028,0.00662999,0,1,1
149,202,204,new line.l(r:p3rdt128lv-p3rlv231),230.1926422,0.0212354,0,1,1
150,202,205,new line.l(r:p3rdt128lv-p3rlv232),231.7389145,0.0146493,0,1,1
151,206,207,new line.l(r:p3rdt129lv-p3rlv233),164.8905716,0.0139623,0,1,1
152,208,209,new line.l(r:p3rdt130lv-p3rlv234),167.4817963,0.001,0,1,1
153,210,211,new line.l(r:p3rdm241-p3rlv236),167.7168121,0.066876,0,1,1
154,212,210,new line.l(r:p3rdm241-p3rdt131lv),167.8838425,0.0198611,0,1,1
155,212,213,new line.l(r:p3rdm242-p3rdt131lv),167.8185577,0.0198512,0,1,1
156,213,214,new line.l(r:p3rdm242-p3rlv244),167.5243454,0.0952272,0,1,1
157,215,216,new line.l(r:p3rdt132lv-p3rlv237),164.1678391,0.0969935,0,1,1
158,217,218,new line.l(r:p3rdt133lv-p3rlv238),170.0338135,0.0488766,0,1,1
159,219,220,new line.l(r:p3rdt134lv-p3rlv239),164.1582108,0.0309557,0,1,1
160,219,221,new line.l(r:p3rdt134lv-p3rlv243),164.3618393,0.0206654,0,1,1
161,219,222,new line.l(r:p3rdt134lv-p3rlv246),164.3044662,0.0148754,0,1,1
162,223,224,new line.l(r:p3rdt135lv-p3rlv240),169.203125,0.0820018,0,1,1
163,225,226,new line.l(r:p3rdt136lv-p3rlv242),164.5065384,0.0915598,0,1,1
164,227,228,new line.l(r:p3rdt152lv-p3rlv275),170.5469971,0.0175893,0,1,1
165,229,230,new line.l(r:p3rdt153lv-p3rlv276),187.9666367,0.0557192,0,1,1
166,229,231,new line.l(r:p3rdt153lv-p3rlv277),188.5214386,0.0439522,0,1,1
167,229,232,new line.l(r:p3rdt153lv-p3rlv316),188.9788284,0.0597976,0,1,1
168,229,233,new line.l(r:p3rdt153lv-p3rlv317),188.9060287,0.0333076,0,1,1
169,229,234,new line.l(r:p3rdt153lv-p3rlv325),188.6830444,0.00730632,0,1,1
170,235,236,new line.l(r:p3rdt154lv-p3rlv278),180.5938797,0.001,0,1,1
171,237,238,new line.l(r:p3rdt155lv-p3rlv279),225.6976395,0.0101819,0,1,1
172,237,239,new line.l(r:p3rdt155lv-p3rlv280),226.1015625,0.0101819,0,1,1
173,240,241,new line.l(r:p3rdt156lv-p3rlv281),222.8161392,0.0152426,0,1,1
174,240,242,new line.l(r:p3rdt156lv-p3rlv285),223.3604355,0.0152426,0,1,1
175,243,244,new line.l(r:p3rdt157lv-p3rlv282),216.6122894,0.0676212,0,1,1
176,243,245,new line.l(r:p3rdt157lv-p3rlv284),220.8991241,0.0300277,0,1,1
177,243,246,new line.l(r:p3rdt157lv-p3rlv286),220.2469254,0.0502627,0,1,1
178,243,247,new line.l(r:p3rdt157lv-p3rlv287),220.4261703,0.00266027,0,1,1
179,248,249,new line.l(r:p3rdt158lv-p3rlv288),230.5875549,0.05657,0,1,1
180,248,250,new line.l(r:p3rdm289-p3rdt158lv),233.7926483,0.0182342,3.6,1,1
181,250,251,new line.l(r:p3rdm289-p3rlv283),234.7865753,0.00908509,6,1,1
182,252,253,new line.l(r:p3rdm295-p3rlv293),173.5912933,0.0276237,0,1,1
183,252,254,new line.l(r:p3rdm295-p3rlv310),172.406311,0.0931234,0,1,1
184,255,252,new line.l(r:p3rdm295-p3rdt161lv),174.2202988,0.0199803,0,1,1
185,255,256,new line.l(r:p3rdm296-p3rdt161lv),174.721283,0.0199804,0,1,1
186,256,257,new line.l(r:p3rdm296-p3rlv307),173.8514633,0.0624215,0,1,1
187,256,258,new line.l(r:p3rdm294-p3rdm296),175.3825073,0.0183737,0,1,1
188,258,259,new line.l(r:p3rdm294-p3rlv292),174.6203613,0.0402662,0,1,1
189,260,261,new line.l(r:p3rdt162lv-p3rlv313),183.5620728,0.00958151,5.8,1,1
190,260,262,new line.l(r:p3rdm298-p3rdt162lv),182.2480164,0.0638118,1.6,1,1
191,260,264,new line.l(r:p3rdm299-p3rdt162lv),184.8183594,0.073776,0.4,1,1
192,262,263,new line.l(r:p3rdm298-p3rlv294),181.3136139,0.009642,0,1,1
193,264,265,new line.l(r:p3rdm299-p3rlv312),186.4530334,0.0186251,0,1,1
194,266,267,new line.l(r:p3rdt163lv-p3rlv295),169.576683,0.0991748,0,1,1
195,266,268,new line.l(r:p3rdm302-p3rdt163lv),169.2546997,0.0177002,0,1,1
196,266,271,new line.l(r:p3rdm303-p3rdt163lv),169.3401031,0.0177102,0,1,1
197,268,269,new line.l(r:p3rdm302-p3rlv299),169.4030838,0.0763971,0,1,1
198,268,270,new line.l(r:p3rdm302-p3rlv304),169.1623688,0.04614,0,1,1
199,271,272,new line.l(r:p3rdm303-p3rlv300),169.446167,0.0582384,0,1,1
200,273,274,new line.l(r:p3rdt164lv-p3rlv296),187.7894897,0.0133995,0,1,1
201,273,275,new line.l(r:p3rdt164lv-p3rlv298),187.6624603,0.00756838,0,1,1
202,276,277,new line.l(r:p3rdt165lv-p3rlv297),164.5310745,0.0317724,0,0,1
203,278,279,new line.l(r:p3rdt166lv-p3rlv301),173.2435684,0.0105129,0,1,1
204,278,280,new line.l(r:p3rdt166lv-p3rlv305),172.7778549,0.0122813,0,1,1
205,278,281,new line.l(r:p3rdm310-p3rdt166lv),172.6813202,0.01844,0,1,1
206,281,282,new line.l(r:p3rdm310-p3rlv306),172.2257614,0.0229144,0,1,1
207,283,284,new line.l(r:p3rdt167lv-p3rlv302),163.7154922,0.0317299,0,0,1
208,285,286,new line.l(r:p3rdt168lv-p3rlv303),183.8381729,0.0189933,6.3,1,1
209,285,287,new line.l(r:p3rdt168lv-p3rlv311),183.8559723,0.0189933,4.9,1,1
210,288,289,new line.l(r:p3rdt169lv-p3rlv308),172.8521042,0.0426523,0,1,1
211,290,291,new line.l(r:p3rdt170lv-p3rlv309),165.3559113,0.0186574,0,0,1
212,292,293,new line.l(r:p3rdm316-p3rlv314),256.6760483,0.0507476,0,1,1
213,294,292,new line.l(r:p3rdm316-p3rdt171lv),258.8710632,0.0139868,0,1,1
214,294,295,new line.l(r:p3rdm317-p3rdt171lv),261.4335022,0.0139843,0,1,1
215,295,296,new line.l(r:p3rdm317-p3rlv315),261.3538208,0.0505725,2.8,1,1
216,297,298,new line.l(r:p3rdt178lv-p3rlv326),168.0228195,0.0129234,0,1,1
217,297,299,new line.l(r:p3rdt178lv-p3rlv327),167.8211823,0.0213842,0,1,1
218,297,300,new line.l(r:p3rdt178lv-p3rlv328),168.0015793,0.0171539,0,1,1
219,297,301,new line.l(r:p3rdt178lv-p3rlv330),167.8875885,0.0188446,0,1,1
220,302,303,new line.l(r:p3rdt179lv-p3rlv329),167.834137,0.001,0,1,1
221,304,305,new line.l(r:p3rdt313lv-p3rlv619),554.0878906,0.0917139,4.9,1,1
222,306,307,new line.l(r:p3rdt314lv-p3rlv620),529.8971558,0.00434053,0,1,1
223,308,309,new line.l(r:p3rdm673-p3rlv664),473.5649109,0.0124204,0,1,1
224,310,308,new line.l(r:p3rdm673-p3rdt347lv),473.3841858,0.0181241,2.4,1,1
225,310,311,new line.l(r:p3rdm674-p3rdt347lv),472.9631805,0.0155907,0,1,1
226,311,312,new line.l(r:p3rdm674-p3rlv665),472.8473969,0.00707721,0,1,1
227,313,314,new line.l(r:p3rdt434lv-p3rlv803),238.5854263,0.0142048,0,1,1
228,313,315,new line.l(r:p3rdt434lv-p3rlv805),238.0670547,0.00630313,0,1,1
229,313,316,new line.l(r:p3rdt434lv-p3rlv808),238.370842,0.020632,0,1,1
230,313,317,new line.l(r:p3rdt434lv-p3rlv809),237.0169067,0.0219773,5.5,1,1
231,318,319,new line.l(r:p3rdt435lv-p3rlv804),261.7109985,0.0587946,9.7,1,1
232,318,320,new line.l(r:p3rdt435lv-p3rlv807),261.0149536,0.0195518,8.1,1,1
233,321,322,new line.l(r:p3rdt436lv-p3rlv806),259.1392212,0.00568347,9,1,1
234,323,324,new line.l(r:p3rdt437lv-p3rlv810),239.6155853,0.040419,13.4,1,1
235,325,326,new line.l(r:p3rdm832-p3rlv811),248.682991,0.0115128,10,1,1
236,327,325,new line.l(r:p3rdm832-p3rdt438lv),248.6184464,0.00905219,10,1,1
237,327,328,new line.l(r:p3rdm833-p3rdt438lv),249.6441727,0.0233897,8.6,1,1
238,328,329,new line.l(r:p3rdm833-p3rlv1000),249.6897812,0.00432897,8,1,1
239,330,331,new line.l(r:p3rdt439lv-p3rlv812),237.7494659,0.0136191,23,1,1
240,332,333,new line.l(r:p3rdt440lv-p3rlv813),275.5374756,0.001,0,1,1
241,334,335,new line.l(r:p3rdt494lv-p3rlv907),457.7451935,0.00995181,23,1,1
242,336,337,new line.l(r:p3rdt538lv-p3rlv996),272.9443512,0.0106157,9.6,1,1
243,338,339,new line.l(r:p3rdt539lv-p3rlv997),249.5935898,0.0540977,0,1,1
244,340,341,new line.l(r:p3rdt541lv-p3rlv999),247.7473145,0.0222436,6,1,1
245,342,343,new line.l(r:p3rdt542lv-p3rlv1001),261.3340607,0.0268331,8,1,1
246,342,344,new line.l(r:p3rdt542lv-p3rlv1004),261.279129,0.066009,8.6,1,1
247,345,346,new line.l(r:p3rdt543lv-p3rlv1002),258.281662,0.0137828,7.2,1,1
248,347,348,new line.l(r:p3rdt544lv-p3rlv1003),250.3803329,0.0209635,8.9,1,1
249,349,350,new line.l(r:p3rdt545lv-p3rlv1005),262.8296967,0.0549256,10,1,1
250,351,352,new line.l(r:p3rdt547lv-p3rlv1007),255.3379822,0.0135232,17.2,1,1
251,353,354,new line.l(r:p3rdt955lv-p3rlv1703),318.5996399,0.0275029,0,1,1
252,353,355,new line.l(r:p3rdt955lv-p3rlv1708),319.0555115,0.0106141,0,1,1
253,356,357,new line.l(r:p3rdm1717-p3rlv1704),291.3470001,0.0248407,9.6,1,1
254,358,356,new line.l(r:p3rdm1717-p3rdt956lv),290.7919312,0.00889182,0,1,1
255,358,359,new line.l(r:p3rdm1718-p3rdt956lv),295.9793854,0.0688865,2.8,1,1
256,359,360,new line.l(r:p3rdm1718-p3rlv1721),300.8679962,0.0139097,6,1,1
257,361,362,new line.l(r:p3rdt957lv-p3rlv1705),291.5561676,0.0169974,0,1,1
258,363,364,new line.l(r:p3rdt959lv-p3rlv1707),311.6607971,0.0177187,6.6,1,1
259,365,366,new line.l(r:p3rdt960lv-p3rlv1709),285.2882996,0.0200762,0,1,1
260,367,368,new line.l(r:p3rdt961lv-p3rlv1711),324.2909698,0.00378345,10,1,1
261,369,370,new line.l(r:p3rdt962lv-p3rlv1712),318.6861115,0.0722188,2,1,1
262,371,372,new line.l(r:p3rdt963lv-p3rlv1713),342.3938904,0.0279044,2.8,1,1
263,373,374,new line.l(r:p3rdt964lv-p3rlv1714),314.9152527,0.0279523,7,1,1
264,375,376,new line.l(r:p3rdt966lv-p3rlv1716),288.5825043,0.027663,4.2,1,1
265,377,378,new line.l(r:p3rdm1729-p3rlv1720),267.3557587,0.0402668,8.6,1,1
266,379,377,new line.l(r:p3rdm1729-p3rdt967lv),256.9899139,0.0382853,4.2,1,1
267,379,380,new line.l(r:p3rdm1730-p3rdt967lv),254.3033066,0.0382853,3,1,1
268,380,381,new line.l(r:p3rdm1730-p3rlv1895),252.8589401,0.0166816,8.4,1,1
269,382,383,new line.l(r:p3rdm1767-p3rlv1762),394.7697906,0.0179066,6.3,1,1
270,384,382,new line.l(r:p3rdm1767-p3rdt988lv),394.3819275,0.0566346,2.1,1,1
271,384,385,new line.l(r:p3rdm1768-p3rdt988lv),396.3576202,0.0388057,0,1,1
272,385,386,new line.l(r:p3rdm1768-p3rlv1763),396.5827332,0.00533563,0,1,1
273,385,387,new line.l(r:p3rdm1766-p3rdm1768),396.7126465,0.0342062,0,1,1
274,387,388,new line.l(r:p3rdm1766-p3rlv1759),396.7767181,0.00460825,0,1,1
275,389,390,new line.l(r:p3rdt1001lv-p3rlv1780),411.0929718,0.00815012,0,1,1
276,389,391,new line.l(r:p3rdm1783-p3rdt1001lv),412.5081787,0.0738965,0,1,1
277,389,393,new line.l(r:p3rdm1785-p3rdt1001lv),410.3621063,0.0373746,5.6,1,1
278,391,392,new line.l(r:p3rdm1783-p3rlv1779),416.3230591,0.0285214,0,1,1
279,393,394,new line.l(r:p3rdm1785-p3rlv1781),409.8740234,0.00621181,7,1,1
280,395,396,new line.l(r:p3rdm1859-p3rlv1861),627.3291931,0.0263669,2.9,1,1
281,397,395,new line.l(r:p3rdm1859-p3rdt1052lv),629.1305542,0.0175529,8,1,1
282,397,398,new line.l(r:p3rdm1860-p3rdt1052lv),630.0073853,0.035099,7.1,1,1
283,398,399,new line.l(r:p3rdm1860-p3rlv1879),632.388916,0.022465,10.5,1,1
284,400,401,new line.l(r:p3rdt1053lv-p3rlv1867),632.9233704,0.0248222,18.1,1,1
285,400,402,new line.l(r:p3rdm1861-p3rdt1053lv),631.0145264,0.0346745,13.1,1,1
286,402,403,new line.l(r:p3rdm1861-p3rlv1862),630.0474243,0.00263139,10.8,1,1
287,404,405,new line.l(r:p3rdt1055lv-p3rlv1866),613.5279236,0.0174111,0,1,1
288,404,406,new line.l(r:p3rdm1864-p3rdt1055lv),615.6639404,0.0376495,5.6,1,1
289,404,408,new line.l(r:p3rdm1866-p3rdt1055lv),615.7000732,0.025654,1,1,1
290,406,407,new line.l(r:p3rdm1864-p3rlv1864),615.3622437,0.0142321,8,1,1
291,408,409,new line.l(r:p3rdm1866-p3rlv1873),612.1944885,0.0447083,1.5,1,1
292,410,411,new line.l(r:p3rdt1056lv-p3rlv1865),630.3014832,0.0223278,0,1,1
293,410,412,new line.l(r:p3rdt1056lv-p3rlv1880),630.8757629,0.0154106,0,1,1
294,410,413,new line.l(r:p3rdm1869-p3rdt1056lv),630.5246582,0.00974459,0,1,1
295,413,414,new line.l(r:p3rdm1869-p3rlv1881),630.1583862,0.00996619,0,1,1
296,415,416,new line.l(r:p3rdt1058lv-p3rlv1869),627.9829102,0.0396959,12.5,1,1
297,417,418,new line.l(r:p3rdt1059lv-p3rlv1870),585.5285645,0.0132208,8,0,1
